displaytitle,description,class
How to Write a Comedy,Build up to a major laugh,11-20secs
How to Write a Comedy,Include reversals,41-50secs
How to Write a Comedy,Write with a partner,11-20secs
How to Create a Personalized Signature,Consider the content of your signature,11-20secs
How to Create a Personalized Signature,Create a signature in Gmail,11-20secs
How to Cure Vaginal Infections Without Using Medications,Mix apple cider vinegar with water for a douche,21-30secs
How to Make a Temporary Tattoo,Remove the tattoo,21-30secs
How to Make a Temporary Tattoo,Buy any color Sharpie,31-40secs
How to Increase Your Pain Tolerance,Exercise with a friend,51-60secs
How to Increase Your Pain Tolerance,Make small goals,11-20secs
How to Increase Your Pain Tolerance,Talk to your doctor before starting any physical activity,41-50secs
How to Time Contractions,Decide what timing tools to use,21-30secs
How to Announce Twins,Send twin birth announcements,11-20secs
How to Write a Manifesto,Revise your work,41-50secs
How to Write a Manifesto,Edit your manifesto,1-10secs
How to Write a Manifesto,Ask someone you trust or respect read it,31-40secs
How to Write a Manifesto,Proofread your manifesto,21-30secs
How to Make a Fake Belly Button Piercing,Find a silver- or gold-colored bead.The bead can be plastic or metal but it should be small enough to fit inside your belly button,31-40secs
How to Accessorize Your Maternity Wardrobe,Wear comfortable and stylish shoes,31-40secs
How to Reduce Heavy Thighs,Don't believe the spot-reduction myth,31-40secs
How to Recover from Chronic Fatigue Syndrome,Talk to a psychotherapist,51-60secs
How to Get Rid of Leg Pain,Stay hydrated,11-20secs
How to Get Rid of Leg Pain,Lighten your workouts,11-20secs
How to Get Rid of Leg Pain,Inspect yourself for injuries,51-60secs
How to Get Rid of Leg Pain,Look for circulation issues,51-60secs
How to Treat a Girl the Way She Should Be Treated,Make eye contact,41-50secs
How to Beat a Strong Man,Attack his throat with strikes and chokes,21-30secs
How to Beat a Strong Man,Kick him in the groin,21-30secs
How to Beat a Strong Man,Gouge or poke his eyes,11-20secs
How to Beat a Strong Man,Use a weapon to neutralize your opponent,21-30secs
How to Avoid a Fight at School,Rely on humor,1-10secs
How to Avoid a Fight at School,Be confident,1-10secs
How to Avoid a Fight at School,Cope with insults,31-40secs
How to Tape an Ankle,Keep your foot at a 90-degree angle,31-40secs
How to Spot a Spy,Know the difference between legal and illegal activity,1-10secs
How to Spot a Spy,Keep an eye out for unusual activity,1-10secs
How to Cite an Article in APA,List the author or authors,51-60secs
How to Remove Bandage Adhesive from Skin,Apply rubbing alcohol,51-60secs
How to Submit Articles to Publications,Decide where to submit a personal essay,21-30secs
How to Reconcile a Friendship,Think about the problem,41-50secs
How to Cite a PDF,Look for the author,21-30secs
How to Cite a PDF,Look for page numbers,31-40secs
How to Cite a PDF,Note whether the journal article is from an online-only journal,21-30secs
How to Transition from Non Fiction to Fiction Writing,Fill out character sheets on all your characters,21-30secs
How to Write Your Own Eulogy,Make a list of your defining qualities,51-60secs
How to Work During Pregnancy,Take rests throughout the work day,51-60secs
How to Make a Cat First Aid Kit,Include bandaging materials,1-10secs
How to Make a Cat First Aid Kit,Have food and water,31-40secs
How to Write Freeform Poetry,Be aware of the guidelines around chance poetry,51-60secs
How to Write Freeform Poetry,Look at examples of chance poetry,31-40secs
How to Write Freeform Poetry,Select your chance operation,51-60secs
How to Write Freeform Poetry,Create a first draft of a chance poem,31-40secs
How to Write Freeform Poetry,Avoid adjusting the poem too much,21-30secs
How to Convince Your Parents to Get You a Pet if You Already Have Many,Research thoroughly,11-20secs
How to Write Tengwar,The first tengwa represents kh as in loch and Christmas,31-40secs
How to Look Like a Rockstar,Identify what you already have,41-50secs
How to Go to Sleep Fast for Kids,Count down from 100,31-40secs
How to Go to Sleep Fast for Kids,Get some comfortable bedding,31-40secs
How to Get Inspiration for Poetry,Write from the perspective of a historical figure,51-60secs
How to Look Just Like Elsa from Frozen,Wear a sparkly top,1-10secs
How to Be Friends with Your Younger Sister,Demonstrate integrity,1-10secs
How to Be Friends with Your Younger Sister,Focus on your relationship together,51-60secs
How to Be Friends with Your Younger Sister,Be accessible,51-60secs
How to Be Friends with Your Younger Sister,Be confident and genuine,51-60secs
How to Be Friends with Your Younger Sister,Take good care of her,41-50secs
How to Get over the Fact Your Friend Left You for the Popular Crowd,Look back on the friendship with a new set of eyes,31-40secs
How to Decide when a Friendship Is Over,Part on a good note,21-30secs
How to Decide when a Friendship Is Over,Accept that the friendship is over,31-40secs
How to Help Young Siblings Bond,Teach conflict resolution,21-30secs
How to Write a Credible Fantasy Story,Create non-human creatures,51-60secs
How to Do First Aid on a Choking Baby,Check the child's mouth for an object,1-10secs
How to Make a Vaporizer from Household Supplies,Collect your supplies,31-40secs
How to Sleep with Broken Ribs,Sleep as much as possible,21-30secs
How to Tease a Guy (for Teens and Kids),Do little things to annoy him,21-30secs
How to Talk to Your Middle School Crush (Girls),Find things you have in common,41-50secs
How to Fight Bloat During Pregnancy,Drink lots of water,21-30secs
How to Make Friends with Your Crush when You're a Klutz Around Him,Take pride in your appearance,1-10secs
How to Get Guys to Notice You,Read the signs,31-40secs
How to Find Out Whether a Girl Loves You or Is Just Being a Good Friend,Ask questions about love and romance,1-10secs
How to Know if a Girl in Middle School Likes You,See if you can catch her staring at you,11-20secs
How to Exercise when You Have Fibromyalgia,Start a walking regimen,11-20secs
How to Have Fun With Your Siblings,Catch a movie,51-60secs
How to Debone a Trout,Flip the trout over and cut the second fillet,21-30secs
How to Get Your Parents to See Your Point of View,Go in without expectations,51-60secs
How to Rig an Ice Fishing Rod,Use tiny jigs for panfish,51-60secs
How to Fish in Florida,Choose the area you want to fish,31-40secs
How to Improve Social Skills,Be aware of the volume and tone of your voice,1-10secs
How to Improve Social Skills,Learn the right manner in which to initiate a conversations,41-50secs
How to Spur Employee Creativity,Encourage prompt thinking,51-60secs
How to Clean Fishing Lures,Use vinegar to remove rust from your hooks,21-30secs
How to Keep Your Private Parts Clean,Trim the hedges,51-60secs
How to Keep Your Private Parts Clean,Wash daily,11-20secs
How to Keep Your Private Parts Clean,If you are on your period change your pad or tampon regularly or wear a Menstrual Cup,21-30secs
How to Manage Surgery As an Elderly Patient,Arrange your transportation,31-40secs
How to Improve Your Workout Pace With Jog.Fm,Go to Jog.Fm,51-60secs
How to Choose a Fishing Rod,Choose a length,21-30secs
How to Make Your Workout More Enjoyable,Eliminate excuses,51-60secs
How to Accessorize a Hamster's Cage,Collect empty cardboard tubes,1-10secs
How to Write Dynamic Co Characters,Remember why they are so important in the first place,41-50secs
How to Create Characters for a Story,Base the appearance of your characters on real life people,31-40secs
How to Fake Symptoms of Being Sick,Display a decline in appetite,11-20secs
How to Create a Character Driven Book,Decide on a character arc,21-30secs
How to Create a Character Driven Book,Establish backstory,31-40secs
How to Create a Character Driven Book,Craft relationships between characters,51-60secs
How to Make a Camp Cabin Seem More Like Home,If you brought books line them up on a bookshelf,1-10secs
How to Make a Camp Cabin Seem More Like Home,Talk to your roommates and try decorating together,11-20secs
How to Survive a Hostile Work Environment,Separate yourself from the negativity,21-30secs
How to Deal With a Bad Parent,Daydream about the future,41-50secs
How to Choose an NHS Consultant,Ask your general practitioner for a referral to a specialized NHS consultant,51-60secs
How to Start a Business Working with Seniors,Choose a business structure,31-40secs
How to Keep Guinea Pigs when You Have Cats,Introduce your cats and guinea pigs early,31-40secs
How to Choose a Retirement Community,Consider your healthcare needs,51-60secs
How to Address Royalty,Call princes and princesses by the proper title,21-30secs
How to Address Royalty,Select the right term for dukes and duchesses,21-30secs
How to Survive a Tiger Attack,Avoid approaching an escaped tiger,31-40secs
How to Aid a Sick Family Member,Make time for yourself,31-40secs
How to Strengthen Tendons,Practice full extension exercises without weights,41-50secs
How to Strengthen Tendons,Add a light weight to the extension exercises,1-10secs
How to Strengthen Tendons,Add an elastic exercise band to the motions,31-40secs
How to Write a Diary Without Getting Bored,Skip days,21-30secs
How to Avoid Talking to Your Parents,Cut off the conversation,11-20secs
How to Treat a Human Suspected of Having Rabies,Look for any drooling,11-20secs
How to Hike the Pacific Crest Trail,Obtain 1 or more permits to hike the Pacific Crest Trail,31-40secs
How to Exercise Your Guinea Pig,Choose a safe area,21-30secs
How to Write a Transcript,Choose a recording device,1-10secs
How to Know when to Get Mental Health Counseling,Know what to expect,31-40secs
How to Have Fun While You Are Grounded,Read a book.If your parents saw fit to confiscate all your electronics reading a book is usually your best option,41-50secs
How to Make Gifts for the Elderly,Research and decorate a family tree,21-30secs
How to Have Fun While You Are Grounded,Surf the internet,31-40secs
How to Think of Topics for a Short Story,Place them in a setting,21-30secs
How to Convince Your Parents to Let You Date,Let your parents know what dating means to you and ask them what dating means to them,31-40secs
How to Stay Warm at Work,Try a hot water bottle,1-10secs
How to Clean a Camelbak Bladder,Fill the bladder with hot water,11-20secs
How to Clean a Camelbak Bladder,Pinch the bite valve,1-10secs
How to Clean a Camelbak Bladder,Remove the hose,51-60secs
How to Treat a Chemical Burn,Seek medical attention for severe burns,51-60secs
How to Enjoy Camping,Bring a first aid kit,21-30secs
How to Prevent Fights Between Cats,Keep food and water bowls separate,1-10secs
How to Catch a Catfish,Keep the bait fresh,1-10secs
How to Field Dress a Duck,Remove the head,1-10secs
How to Find Sales Leads,Encourage happy clients to provide recommendations,51-60secs
How to Get Energy if You're Tired,Stay well hydrated,1-10secs
How to Be Romantic with Your Boyfriend,Do him favors that count,21-30secs
How to Measure Gun Barrel,Unload the gun,1-10secs
How to Become an Interior Designer in California,Get an education,1-10secs
How to Deal with a Cranky Senior Citizen,Offer to help,21-30secs
How to Publish a Book,Research publishers,31-40secs
How to Come up With Ideas for Creative Writing,Read widely,11-20secs
How to Get a Guy You've Never Talked to Before,Watch your facial expressions,1-10secs
How to Be a Taxi Driver,Check to be sure you qualify,11-20secs
How to Keep Bees,Inspect their honey making progress,41-50secs
How to Keep Bees,Treat bee stings,21-30secs
How to Care for Sphynx Cats,Feed your Sphynx cat often,11-20secs
How to Handle School when You Have Depression,Use positive affirmations,21-30secs
How to Avoid Sharks,Obey all posted warnings at the beach,1-10secs
How to Make a Comfortable Bed for Your Cat,Start by getting a cardboard box your cat can fit in perfectly,31-40secs
How to Deal With an Abusive Boss With the SOB Syndrome,Assess the hazard,11-20secs
How to Hold a Pigeon,Take the pigeon to professional help,41-50secs
How to Disbud (Prevent Horns) in a Baby Goat,Apply the disbudding iron,41-50secs
How to Help Your Boss Succeed,Be clear about the organization structure goals and your responsibilities,41-50secs
How to Build a Natural Shelter in the Jungle,Pick a suitable location,1-10secs
How to Catch a Duck,Put a small bowl of dog food outside,1-10secs
How to Rescue Someone Who Has Fallen Through Ice,Throw a long object toward the victim,11-20secs
How to Throw a Knuckleball,Known when to use it,41-50secs
How to Know if You Need a Career Change,Assess the financial impact of the switch,21-30secs
How to Know if You Need a Career Change,Think honestly about the impact on your self-perception,21-30secs
How to Know if You Need a Career Change,Talk to your loved ones about the potential change,21-30secs
How to Know if You Need a Career Change,Test the waters,31-40secs
How to Vaccinate Chickens,Prepare the intramuscular vaccination,21-30secs
How to Get Your Hen to Become Broody,Place wooden eggs in the nest,31-40secs
How to Develop Positive Work Relationships,Communicate effectively,31-40secs
How to Survive Through School with a Horrible Teacher,Be clear in your own mind about why you think your teacher is horrible,1-10secs
How to Hop a Fence,Determine whether or not to do a monkey vault,51-60secs
How to Receive a Check in Ice Hockey,Wear proper gear,21-30secs
How to Receive a Check in Ice Hockey,Stay loose,51-60secs
How to Receive a Check in Ice Hockey,Stay away from the center of the rink,1-10secs
How to Receive a Check in Ice Hockey,Get up slowly,31-40secs
How to Do Core Exercises,Do leg crosses with an exercise ball,11-20secs
How to Do Core Exercises,Assume the locust pose in yoga,51-60secs
How to Clean a Dirty Baseball,Make a solution of dilute bleach and dish detergent,31-40secs
How to Stretch Like a Contortionist,Warm up before you stretch,1-10secs
How to Do a Neat Middle Height Ponytail,Put your hair into a neat ponytail,41-50secs
How to Do Toe Taps With a Soccer Ball,Start with your back foot on the ball,1-10secs
How to Make a Top Knot Bun,Tease your hair,51-60secs
How to Work out While Traveling,Invest in resistance bands,41-50secs
How to Ease Sore Muscles After a Hard Workout,Rest up for a couple of days after your intense workout,41-50secs
How to Make a Bun,Prep your hair,41-50secs
How to Stay Entertained on a Treadmill,Listen to music during your workout,51-60secs
How to Do Candy Cane Makeup,Cover your lips with concealer,51-60secs
How to Give Flat Hair Volume,Blow dry the underside of your hair,41-50secs
How to Make a Mask That Dries out Pimples,Prepare your orange peels,11-20secs
How to Wash Your Hair,Evenly spread conditioner into your hair if it is less than 3 inches long,51-60secs
How to Dye Your Hair With Coffee,Shampoo your hair,51-60secs
How to Make and Apply a Honey and Coffee Facial Mask,Use a whisk or fork to combine the ingredients,1-10secs
How to Get Rid of Forehead Acne,Wash your face twice a day,51-60secs
How to Get Rid of Dry Hair,Use less shampoo,1-10secs
How to Get Rid of Dry Hair,Let it air dry as often as possible,51-60secs
How to Wear Neon Lip Makeup,Add powder over red lipstick,21-30secs
How to Avoid Wearing Out Flip Flops,Pick up your feet while walking,1-10secs
How to Do a Maple Syrup Hair Mask,Mash the avocado and banana together,21-30secs
How to Do a Maple Syrup Hair Mask,Leave the mask on for fifteen to twenty minutes,51-60secs
How to Treat Oily Skin with Tomatoes,Rub the tomato halves on your skin,11-20secs
How to Treat Oily Skin with Tomatoes,Rinse your skin,1-10secs
How to Treat Oily Skin with Tomatoes,Add honey,1-10secs
How to Get Rid of Acne Cysts Fast,Understand that cystic acne affects deeper skin tissue than common acne,51-60secs
How to Care for Kid's Dancewear,Remove leotards as soon as possible,41-50secs
How to Make a Hair Protectant Spray,Fill a spray bottle with water,31-40secs
How to Get Rid of Acne Cysts Fast,Don't pick at your cysts or skin,11-20secs
How to Scuff Up Boots,Inspect your boots for durability,11-20secs
How to Protect Suede Boots,Ensure the boot is clean,51-60secs
How to Become Platinum Blonde Without Too Much Damage,Ask friends,41-50secs
How to Whiten Yellow Hair,Find purple toner in a drugstore,31-40secs
How to Whiten Yellow Hair,Apply according to label instructions,41-50secs
How to Get Paint Off Canvas Shoes,Apply a detergent mixture,1-10secs
How to Get Paint Off Canvas Shoes,Apply nail polish remover,21-30secs
How to Stop Peeling Fingernail Polish Off,Regularly manicure your nails,51-60secs
How to Maintain Waterproof Leather Boots,Remove insoles if you did not do so during cleaning,51-60secs
How to Maintain Waterproof Leather Boots,Set your boots out upside down on a counter or on the floor,21-30secs
How to Highlight Your Hair Naturally,Juice lemons,11-20secs
How to Wear Makeup in Humid Weather,Use a primer,11-20secs
How to Make a Pumpkin Face Scrub,Liquefy the oils,1-10secs
How to Get Squeaks Out of Air Jordan Sneakers,Sprinkle baby powder in the sole-less shoe,21-30secs
How to Use Almond Oil for Aging/Dry Skin,Create a facial oil,1-10secs
How to Take Care of Your Hair Naturally,Take a banana honey and egg whites,41-50secs
How to Shrink Leather Shoes,Use this method for thin shoes that slip off,31-40secs
How to Wear Skinny Jeans,Account for the color of your jeans,21-30secs
How to Look Your Best when Dealing with Allergies,Stay inside as much as possible,21-30secs
How to Do Hairstyles With a Twisty Bump,Twist the ponytail to make a side chignon,51-60secs
How to Flip Your Hair,Start with clean damp hair,41-50secs
How to Choose Eyeshadow Color,Try to go lighter for blue eyes,1-10secs
How to Apply Powder Makeup,Load the powder onto a brush,51-60secs
How to Wipe Your Nose on Your Hands,You can mask a sideways allergic salute as a yawn or you can integrate a sideways allergic salute into a real yawn,31-40secs
How to Shine Shoes,Prep the shoes and apply the first layer of polish,31-40secs
How to Shine Shoes,Buff the shoes,41-50secs
How to Shine Shoes,Continue to apply additional light layers of polish to the shoes with a wet cloth until you achieve the desired shine,31-40secs
How to Fade Freckles,Moisturize your face,21-30secs
How to Design Clothes,Build a portfolio,21-30secs
How to Wear Black Jeans,Consider showcasing a belt with slim jeans,31-40secs
How to Wear Black Jeans,Wear a blazer or a jacket,31-40secs
How to Wear Black Jeans,Try a button-down shirt,51-60secs
How to Wear Black Jeans,Wear a white t-shirt,51-60secs
How to Make Makeup Last All Day,Use waterproof mascara.Waterproof or smudge proof mascara work well to keep your eyes looking fresh all day,51-60secs
How to Dress Up Jeans,Stick with dark jeans for a traditionally dressy jean,51-60secs
How to Dress Up Jeans,Consider a colored jean,1-10secs
How to Dress Up Jeans,Avoid jeans with holes or tears,11-20secs
How to Make Your Hair Thicker,Use a balding treatment,11-20secs
How to Clean Your Face with a Facial Cleanser Scrub and Pack,Pour some cleansing milk into a disposable bowl,21-30secs
How to Wear an Oversized Shirt,Wear it with a blazer,21-30secs
How to Make Curly Hair Grow Faster,Refrain from overwashing,51-60secs
How to Curl Your Hair Overnight,Split your hair in two parts,51-60secs
How to Curl Your Hair Overnight,Take a section of hair and twist it,21-30secs
How to Not Get Cold Wearing a T Shirt in Winter,Wear a hat,31-40secs
How to Condition Your Hair,Use hair masks,31-40secs
How to Look Beautiful at the Beach,Develop a cardio routine,41-50secs
How to Have Flawless Feet,Do foot soaks on a regular basis,21-30secs
How to Have Glittery Nails,Paint one coat of clear nail polish on the nails of one hand,31-40secs
How to Do Sunglass Nails,Use a sponge applicator to apply the powder mixture,31-40secs
How to Do Sunglass Nails,Apply another layer of the non-wipe top coat,41-50secs
How to Get Straight Hair Without Using Irons,Shampoo and condition your hair with the straightening products,51-60secs
How to Do Hairstyles for Curly Hair,Make a curly topknot,1-10secs
How to Do Hairstyles for Curly Hair,Make a headband roll-up,1-10secs
How to Do Hairstyles for Curly Hair,Do rope braids!,51-60secs
How to Get Rid of a Unibrow,Apply a small amount of standard shaving cream to your unibrow,11-20secs
How to Darken Eyebrows,Choose the right color of makeup for your eyebrows,21-30secs
How to Stop Severe Itching,Know when you need medical help,1-10secs
How to Stop Severe Itching,Get additional testing,1-10secs
How to Emulate Kate Middleton,Stick with skirts and dresses,1-10secs
How to Remove Gel Nails,Fill a bowl with acetone,21-30secs
How to Use Moroccan Argan Oil,Make a simple exfoliating scrub with argan oil,1-10secs
How to Use Moroccan Argan Oil,Apply this combination to your skin and work in using a gentle circular motion,31-40secs
How to Use Green Tea on Your Face to Achieve Prettier Skin,Steep a green teabag in boiling water,51-60secs
How to Look Cool,Find a personal style,51-60secs
How to Look Cool,Invest in your shoe game,31-40secs
How to Look Cool,Express yourself through your hair,21-30secs
How to Do Skin Icing,Make ice cubes,31-40secs
How to Do Skin Icing,Wrap ice in a cloth,21-30secs
How to Do Skin Icing,Apply ice to your face,41-50secs
How to Do Skin Icing,Apply beneficial skin products,31-40secs
How to Patch Test Skin,Understand product skin testing,1-10secs
How to Refresh Dirty Hair,Gently shake the baby powder onto your hands,51-60secs
How to Refresh Dirty Hair,Rub your hands together to evenly coat your hands and fingers,1-10secs
How to Be Naturally Thin,Invest in some good shapewear,21-30secs
How to Have an Alluring Scent,Follow good hygiene,51-60secs
How to Wear a Blazer,Choose a simple blazer but experiment with the color,1-10secs
How to Highlight Natural Freckles,Use a tinted moisturizer or BB cream,51-60secs
How to Highlight Natural Freckles,Use a CC cream,31-40secs
How to Highlight Natural Freckles,Use concealer sparingly,41-50secs
How to Highlight Natural Freckles,Brush on mineral powder,11-20secs
How to Waterproof Clothes,Wash and dry the clothing and then spread it on your work area,31-40secs
How to Waterproof Clothes,Start by spraying the inner surface of the clothing,21-30secs
How to Make Gel Alcohol Hand Sanitizer,Determine your goal(s) for adding essential oils,41-50secs
How to Make Gel Alcohol Hand Sanitizer,Add your chosen oils to your sanitizer,51-60secs
How to Get Rid of a Scab,Massage your scab to get some relief,51-60secs
How to Create Homemade Natural Skincare Products,Grind 1 tbsp,51-60secs
How to Prevent Static Hair,Try a moisturizing conditioner,1-10secs
How to Get Thicker Lashes,Apply false eyelashes,51-60secs
How to Make Eyeliner,Gather supplies,21-30secs
How to Look Your Best While Undergoing Chemotherapy,Apply concealer to any dark circles around your eyes or other blemishes,21-30secs
How to Make Lipstick,Add fragrance,51-60secs
How to Be Accepted for Who You Are,See yourself as worthy,1-10secs
How to Get a Flawless Face with Makeup,Moisturize your lips,31-40secs
How to Do a Rolling Front Flip,Choose a soft space,1-10secs
How to Wash Micro Braids,Dampen your hair,51-60secs
How to Wash Micro Braids,Condition your hair,41-50secs
How to Make Your Feet Look Smaller,Avoid clingy skirts,31-40secs
How to Make Straps for a Strapless Dress,Find a fabric for your straps that is the same color as your dress,31-40secs
How to Style a Little Girl's Hair,Do braided flowers,41-50secs
How to Wear over Knee Boots,Pair your boots with a little black dress,51-60secs
How to Do the Pretzel Stretch,Do some split kicks,51-60secs
How to Braid a Woman's Hair on a Date,Wind it down,51-60secs
How to Dry Yourself After a Shower,Apply ointment or cream to lock in the moisture which was absorbed during your shower,11-20secs
How to Care For a Monocular,Avoid touching the lens,1-10secs
How to Dye Your Hair from Brown to Blonde Without Bleach,Apply plastic wrap,1-10secs
How to Remove an Ingrown Hair Under the Skin,Soften the hair using aspirin,21-30secs
How to Do 50s Hairstyles for Short Hair,Slick back your hair,51-60secs
How to Wear a Skinny Scarf,Pair black and white,31-40secs
How to Prevent Hair Dye from Staining Skin,Wear plastic gloves,11-20secs
How to Visit Paros,Visit the capital city Parikia,11-20secs
How to Be Clear and Decisive when Using a Travel Agent,Figure out your date range!,11-20secs
How to Get Rid of Body Hair,Open your pores with hot water,41-50secs
How to Get Rid of Underarm Hair,Wash both of your underarms,1-10secs
How to Make Fog in a Bottle,Gather your supplies,41-50secs
How to Help a Child With Allergies Adjust to School Life,Provide your child with any relevant medication needed,41-50secs
How to Help a Child With Allergies Adjust to School Life,Talk directly with your child's teacher about the allergy and any emergency plans,21-30secs
How to Help a Child With Allergies Adjust to School Life,Talk to your child about allergy management at school,21-30secs
How to Make Underarm Guards,Choose garments to fit with underarm pockets,51-60secs
How to Buy Faux Leather,Read the label,21-30secs
How to Get a Baby to Sleep,Wear the baby,21-30secs
How to Get a Baby to Sleep,Try a baby swing,51-60secs
How to Get a Baby to Sleep,Take a stroll,11-20secs
How to Get a Baby to Sleep,Go for a car ride,41-50secs
How to Choose a Stroller for Twins,Decide what style of stroller you want,21-30secs
How to Choose a Stroller for Twins,Make a list of features and accessories you want,51-60secs
How to Give Your Teen Constructive Criticism,Encourage your teen daily,31-40secs
How to Get Your Kids to Give You Quiet Time,Make quiet time a part of your daily routine,11-20secs
How to Tie a Bandana Like a Headband,Fold the bandana in half diagonally,11-20secs
How to Deal With Teens and Exchange Students,Make sure your teen really wants an exchange student for a year,1-10secs
How to Hide Your Period Supplies,Choose an opaque boring-looking box,51-60secs
How to Handle Dry Ice,Wear protective gloves when handling dry ice,21-30secs
How to Handle Dry Ice,Put a piece of cardboard or newspaper between the dry ice and the food,1-10secs
How to Handle Dry Ice,Know the proper placement of dry ice in a freezer or refrigerator,31-40secs
How to Deal with Failure to Launch Syndrome,Communicate your expectations,1-10secs
How to Set Social Media Boundaries with a Babysitter,Remind the sitter occasionally,31-40secs
How to Measure Speed,Determine the distance the runner is to run,31-40secs
How to Get a Curvy Body,Embrace hills or stairs while you walk hike or run,31-40secs
How to Use a Pendulum,Know that pendulum experiments are a great way to teach the scientific method,11-20secs
How to Use a Pendulum,Change the length of the string,51-60secs
How to Use a Pendulum,Dive deeper into pendulum physics to learn about inertia energy transfer and acceleration,51-60secs
How to Measure Resistance,Choose the item whose resistance you wish to measure,41-50secs
How to Encourage Parallel Play,Teach solitary play skills,51-60secs
How to Choose a Color for Suits,Choose a navy blue suit,1-10secs
How to Choose a Color for Suits,Choose a black suit,21-30secs
How to Draw a Food Web,Grab a sheet of paper and write down the name of your producer at the very bottom,21-30secs
How to Draw a Food Web,Title your work,41-50secs
How to Choose an Insect Repellent for Kids,Test a repellent,31-40secs
How to Use Acids Safely,Wear goggles and gloves,21-30secs
How to Speak Finnish,Take a class,31-40secs
How to Calculate Velocity,Understand the velocity formula for an accelerating object,21-30secs
How to Preserve Wedding Flowers,Handle pressed flowers with care,41-50secs
How to Treat Your Mother on Her Birthday,Make her a one-of-a-kind gift,21-30secs
How to Choose a Flower Girl Dress,Get a miniature version of your wedding dress,21-30secs
How to Choose a Flower Girl Dress,Find her something that is comfortable,1-10secs
How to Choose a Flower Girl Dress,Pick something age-appropriate,11-20secs
How to Choose a Flower Girl Dress,Select a fabric for the dress,1-10secs
How to Decide Whether to Go Back to Work After Retirement,Assess your Social Security standing,21-30secs
How to Enjoy the Charles River in Massachusetts,Travel along the Charles River Bike Path,41-50secs
How to Write a Scheme of Work,Set out academic objectives,21-30secs
