title,action,label
Remove Mold from Wood Furniture,Mist light mold with vodka.,minutes
Remove Mold from Wood Furniture,Scrub away heavier mold with dish soap and a soft bristle brush.,minutes
Remove Mold from Wood Furniture,Mix a bleach solution for stubborn mold.,minutes
Remove Mold from Wood Furniture,Apply the bleach solution to the furniture.,minutes
Remove Mold from Wood Furniture,Sand off solution resistant mold.,minutes
Know When You Are Acting Passive Aggressive,Record information about what happened.,minutes
Know When You Are Acting Passive Aggressive,Pinpoint discrepancies between your thoughts and behaviors.,minutes
Quickly Treat a Cut or Bleeding Scrape,Rinse your wound.,hours
Make Perches for a Hummingbird Feeder,Prepare the feeder.,days
Tell if You Talk Too Much,Make a conscious effort to listen more and talk less.,days
Tell if You Talk Too Much,Slow down.,days
Tell if You Talk Too Much,Learn to express yourself well in an entertaining manner.,days
Use Wedding Cameras on Tables,Take a photo of each course of the meal if the fancy takes you.,minutes
Support a Spouse who Has Cancer,Listen to and love your spouse.,minutes
Support a Spouse who Has Cancer,Get both your and your spouse's families involved as appropriate.,minutes
Support a Spouse who Has Cancer,Take care of yourself.,minutes
Support a Spouse who Has Cancer,Make plans.,minutes
Live With Chronic Fatigue or M.E,Do not judge your activity levels in relation to other people's.,minutes
Live With Chronic Fatigue or M.E,Eat the right foods.,minutes
Live With Chronic Fatigue or M.E,Don't be ashamed to rest.,minutes
Advocate for an Appropriate Education for Your Gifted Child,Provide a nurturing home.,days
Deal with Car Sickness in Cats,Entice the cat with things it likes.,minutes
Deal with Car Sickness in Cats,Ensure safety for you and your cat.,minutes
Deal with Car Sickness in Cats,Use prescription medications.,minutes
Deal with Car Sickness in Cats,Ask your vet for tips on managing car sickness.,minutes
Buy an LCD TV,Take into consideration your HDMI (High Definition Multimedia Interface) needs.,minutes
Get Rid of Razor Bumps in the Bikini Area,Don't press down on the razor as you're shaving.,hours
Love Cats,Don't neglect your pet cat or cats.,days
Teach Children to Sing,Introduce the registers.,minutes
Teach Children to Sing,Begin ear-training.,minutes
Teach Children to Sing,Teach intervals.,minutes
Teach Children to Sing,Give performance opportunities.,minutes
Install a SATA Drive,Finish the installation.,hours
Eat Right when Undergoing IVF,Eat poultry.,hours
Eat Right when Undergoing IVF,Incorporate more plant proteins.,hours
Split Video Using Avs Video Remaker,To split your video into clips put the cursor within the Timeline Scale and and move it to search for the place where the next clip begins.,minutes
Make Fan Art,Find a anime show or character that you like.,minutes
Make Fan Art,Take inspiration from but don't imitate the original style.,minutes
Make Fan Art,Flesh out the sketch.,minutes
Make Fan Art,Add color or shade to the character you have finished tracing.,minutes
Beat Bowser in Super Mario World,Throw the mechakoopa up at Bowser.,minutes
Beat Bowser in Super Mario World,Hit Bowser a second time.,minutes
Beat Bowser in Super Mario World,Finish the fight using the same tactics.,minutes
Use a Cuticle Cutter,Avoid clipping your cuticles if you have diabetes or other health issues.,hours
Fill Out a Checkbook,Calculate and record your new balance.,minutes
Fill Out a Checkbook,Get checkbooks with a carbon copy.,minutes
Use Mozilla's Popcorn Maker,Create a persona account to log in.,minutes
Use Mozilla's Popcorn Maker,Visit the Popcorn Maker application.,minutes
Use Mozilla's Popcorn Maker,Familiarize yourself with the different parts and aspects of the popcorn interface.,minutes
Use Mozilla's Popcorn Maker,Experiment with the different features of the application.,minutes
Use Mozilla's Popcorn Maker,Combine layers and control events to get more advanced and powerful output.,minutes
Judge a Writing Contest,Only offer constructive criticism.,minutes
Buy Starting Equipment for a Dungeons and Dragons V3.5 Character,Make a List.,hours
Diagnose Feline Lymphosarcoma,Confer with your veterinarian about options for testing.,minutes
Have a Perfect Lifestyle (for Girls),Wake up early.,seconds
Have a Perfect Lifestyle (for Girls),Make and maintain a planner.,hours
Have a Perfect Lifestyle (for Girls),Do your homework.,minutes
Train Shihpoos,Teach your Shihpoo to stay in the crate.,hours
Train Shihpoos,Enroll your Shihpoo puppy in puppy kindergarten.,minutes
Make Peanut Butter Granola,Allow the peanut butter granola to cool.,minutes
Get Someone Else's Cat to Like You,Use treats to draw its attention.,minutes
Write a Personification Poem,Think about the emotions you want to express.,minutes
Write a Personification Poem,Try positive and negative uses of personification.,minutes
Buy Clothes for an Autistic Child,Take precautions if your child melts down or shuts down easily in stores.,seconds
Buy Clothes for an Autistic Child,Consider leaving the child's siblings behind.,seconds
Buy Clothes for an Autistic Child,Point out clothes with their favorite color or special interest.,seconds
Buy Clothes for an Autistic Child,Don't worry too much about their choices.,seconds
Feed Sugar Beet to a Horse,Choose the type of sugar beet pulp.,seconds
Feed Sugar Beet to a Horse,Purchase the sugar beet.,minutes
Feed Sugar Beet to a Horse,Know how much sugar beet to offer.,minutes
Do Dips,Adjust your weight setting as you get stronger.,minutes
Play As Twitch on League of Legends,Purchase Twitch in the store.,minutes
Play As Twitch on League of Legends,Familiarize yourself with Twitch's abilities.,minutes
Play As Twitch on League of Legends,Enter a game and choose Twitch as your champion.,hours
Crochet a Flower Garland,Chain one and triple crochet four times.,minutes
Crochet a Flower Garland,Repeat the sequence four more times.,minutes
Crochet a Flower Garland,Try a few advanced flowers.,minutes
Crochet a Flower Garland,Single crochet along the garland to connect your flowers.,minutes
Crochet a Flower Garland,Cut and tie off at the end of the row to secure the garland.,minutes
Pet a Dolphin,Find a guided tour.,minutes
Pet a Dolphin,Visit an aquarium.,hours
Pet a Dolphin,Research the law.,hours
Pet a Dolphin,Get into the water with dolphins and a qualified guide.,hours
Pet a Dolphin,Watch for signs of distress.,hours
Pet a Dolphin,Watch from a distance.,hours
Clean Silver Turquoise Jewelry,Dampen a cloth with water.,seconds
Ride Cross Country on Your Horse,Deal with falls if they occur.,minutes
Get Dean Ornish's Top 10 Tips for Weight Loss,Meditate to relieve stress.,minutes
Take Exam Notes,Use diagrams and charts if you retain visual information better.,minutes
Take Exam Notes,Use acronyms.,hours
Take Exam Notes,Try using stories.,minutes
Fix Achilles Tendonitis,Visit your doctor.,minutes
Wear a Scarf,Wrap it in a simple loop.,hours
Wear a Scarf,Tie your scarf in a half-bow.,hours
Wear a Scarf,Tie your scarf in a complete bow.,hours
Resolve Disputes Without Litigation,Provide background information to the mediator.,minutes
Resolve Disputes Without Litigation,Attend mediation.,minutes
Resolve Disputes Without Litigation,Reach an agreement.,minutes
Photograph Panoramas,Take your photos.,days
Make a Balloon Stress Ball,Use flour for a soft and malleable ball.,days
Evaluate the Credibility of a Source,Investigate the publisher.,minutes
Evaluate the Credibility of a Source,Determine the intended audience.,minutes
Evaluate the Credibility of a Source,Check the reviews.,minutes
Evaluate the Credibility of a Source,Evaluate the source's sources.,minutes
Evaluate the Credibility of a Source,Evaluate consistency.,minutes
Tell What Someone is Like from Their Handwriting,Observe cursive letters.,minutes
Keep Stress Levels Down During a Divorce,Eat healthy meals and exercise regularly.,minutes
Keep Stress Levels Down During a Divorce,Remember the positive side of divorce.,minutes
Make Glitter Ornaments,Pour some floor polish or polycrylic into your ornament.,hours
Do Casual Makeup on Indian Skin,Choose a light foundation or compact powder matching your skin tone if wearing one.,hours
Make Powdered Sugar,Dry the equipment.,hours
Make Powdered Sugar,Measure white granulated sugar.,hours
Make Powdered Sugar,Add cornstarch (recommended).,hours
Clean Grout with Toilet Cleaner,Look for a toilet cleaner that contains sodium hydroxide.,minutes
Clean Grout with Toilet Cleaner,Spot test the cleaner on the grout.,seconds
Clean Grout with Toilet Cleaner,Pour the cleaner on the grout and let it sit.,minutes
Clean Grout with Toilet Cleaner,Use a sealing product on the grout.,minutes
Move a Website,Choose your new Web host.,minutes
Move a Website,Set up the new hosting account.,minutes
Move a Website,Set up new e-mail accounts.,minutes
Count to Ten in Japanese,Nanatsu means seven.,hours
Find Out if You Have a Sinus Infection,Seek medical care.,minutes
Make a Latex Mold,Clean and dry the item you wish to duplicate.,minutes
Make a Latex Mold,Brush on more layers of latex.,minutes
Make a Latex Mold,Peel off the mold.,minutes
Make a Latex Mold,Build a support stand for the mold.,hours
Become an Agent of Western Union,Receive job training and software.,hours
Become an Agent of Western Union,Participate in anti-money laundering training.,hours
Become an Agent of Western Union,Earn money from Western Union.,days
Travel on the Amtrak Cascades Train,Make a reservation.,hours
Travel on the Amtrak Cascades Train,In the major stations like Portland and Seattle your e-ticket will be scanned before you board the train and you will be given a seat assignment.,hours
Switch Between CarPlay Apps,Tap a recent app.,minutes
Perform Stage Hypnotism,Describe the relaxation.,minutes
Prepare Your Body for Pregnancy After Miscarriage,Exercise daily but avoid strenuous activity.,minutes
Get a Special Needs Child Through Airport Security,Understand that your child may have to go through additional screening.,minutes
Get Fatty Tumors Removed in Dogs,Administer pain medications as prescribed.,minutes
Know What Gardening Tools You Need,Use a spade for tasks that require you to cut into the ground.,minutes
Know What Gardening Tools You Need,Smooth out soil and mulch using a garden rake.,minutes
Know What Gardening Tools You Need,Choose watering tools based on the size of your plants or garden.,minutes
Stop Rumors,Stand up for yourself.,minutes
Stop Rumors,Determine what lends credibility to the rumor and stop it.,minutes
Stop Rumors,Broadcast the rumor.,minutes
Stop Rumors,Take care of yourself.,minutes
Respond to Rejection,Try not to catastrophize the situation.,seconds
Set Up a 12 Lead Ekg,Wait while the doctor prepares the electrodes.,minutes
Set Up a 12 Lead Ekg,Recognize normal results.,minutes
Crochet a Bag Easily,Chain the amount of stitches you want the bottom and top width of your bag to be.,minutes
Crochet a Bag Easily,Continue to crochet up to the height you want your bag to be.,minutes
Make a Nursing Care Plan for a Postpartum Hemorrhage,Collect the necessary information.,minutes
Make a Nursing Care Plan for a Postpartum Hemorrhage,Plan to replace lost fluids and make Rationale notes accordingly.,minutes
Make a Nursing Care Plan for a Postpartum Hemorrhage,Evaluate the nursing interventions.,minutes
Do a Scorpion in Cheerleading,Push your leg higher.,hours
Decide What to Do With Your Life,Test the waters.,minutes
Make Cupcakes Inside an Eggshell,Make cake batter.,minutes
Crochet a Bracelet,Create a stopper.,minutes
Have a Great Summer Wardrobe (for Tweens and Teens),Go shopping.,minutes
Have a Great Summer Wardrobe (for Tweens and Teens),Spunk up the styles.,hours
Have a Successful and Happy Life on Sims,Give them an initial amount of money.,hours
Have a Successful and Happy Life on Sims,Make friends.,minutes
Have a Successful and Happy Life on Sims,Career before family.,hours
Have a Successful and Happy Life on Sims,Look after your primary Sim.,minutes
Have a Successful and Happy Life on Sims,Upgrade your furniture as you get more money.,minutes
Talk to a Child About Their Obesity,Buy healthy easy-to-eat snacks.,minutes
Talk to a Child About Their Obesity,Teach about intuitive eating.,minutes
Talk to a Child About Their Obesity,Make kid-friendly healthy meals.,minutes
Talk to a Child About Their Obesity,Eat together as a family.,minutes
Talk to a Child About Their Obesity,Take walks with your child.,minutes
Keep Your Allies Alive During the Campaign on Halo,Decide whether you want to spend the extra effort on keeping your allies alive.,hours
Keep Your Allies Alive During the Campaign on Halo,Use vehicles wisely.,hours
Keep Your Allies Alive During the Campaign on Halo,Use equipment wisely.,minutes
Keep Your Allies Alive During the Campaign on Halo,Kill all dangerous enemies before they do damage to your allies.,minutes
Detox Your Skin,Drink lots of water.,minutes
Know Some Kitchen Basics,Learn how to use basil.,seconds
Know Some Kitchen Basics,Know where and how to store your spices.,seconds
Know Some Kitchen Basics,Clean your microwave with a lemon.,seconds
Know Some Kitchen Basics,If you are making a salad ahead of time put some thought into how you layer its ingredients.,seconds
Know Some Kitchen Basics,You should know a few things before you cook anything on a skewer.,seconds
Know Some Kitchen Basics,Make sure you use silicone or rubber utensils if you cook with nonstick pans.,seconds
Know Some Kitchen Basics,Apply these concepts and try thinking of some of your own too!,seconds
Clean Your Room if You Are Lazy and Don't Want To,Do your bed.,minutes
Clean Your Room if You Are Lazy and Don't Want To,Vacuum and/or sweep your entire floor.,minutes
Clean Your Room if You Are Lazy and Don't Want To,Take a break every half hour or so.,minutes
Clean Your Room if You Are Lazy and Don't Want To,Start at the top of the pile of things on your bed working your way to the bottom.,minutes
Clean Your Room if You Are Lazy and Don't Want To,Organize your room afterwards.,minutes
Make a 'Just in Case' Kit for Your Locker,It's a good idea to keep an extra pair of pants and a shirt in your locker.,days
Rent an Apartment in Los Angeles,Drive around and look at the Neighborhood.,hours
Rent an Apartment in Los Angeles,Find out if your apartment has an on-site apartment manager or perhaps a full on-site management team.,minutes
Rent an Apartment in Los Angeles,Research the Pet Policy.,minutes
Make Money Selling Crafts,Set up shop at festivals.,hours
Clean Ceilings,Spray the ceiling.,hours
Clean Ceilings,Use an eraser to remove pencil marks.,hours
Invade Enemy Territory in a Nerf War,Consider your supplies.,hours
Invade Enemy Territory in a Nerf War,Gather the squad going in to the territory.,hours
Manage Your Partner's Family Gathering with Social Anxiety,Be an active and engaged listener.,minutes
Extract Cactus Juice,Reduce the heat to medium and simmer the cactus pears.,minutes
Extract Cactus Juice,Cut the fruit open.,minutes
Extract Cactus Juice,Squeeze the juice out of the cheesecloth.,minutes
Make Saline Nasal Spray,Watch for symptoms of sinusitis.Sinusitis is a condition in which the sinuses get inflamed and swollen causing mucus buildup.,minutes
Make Saline Nasal Spray,Remove irritants from your environment.,minutes
Make Saline Nasal Spray,Get examined for anatomical problems.It may be that there are no infections medications or hormonal fluctuations causing your congestion.,minutes
Make a Romantic Scrapbook,Decide on a theme.,minutes
Make a Romantic Scrapbook,Remember your best memories.,minutes
Make a Romantic Scrapbook,Compile relationship memorabilia.,minutes
Make a Romantic Scrapbook,Include a few special memories.,minutes
Make a Romantic Scrapbook,Journal to your love.,minutes
Make Syrup,Flavor a basic syrup with vanilla.,seconds
Make Syrup,Prepare ginger-flavored syrup.,minutes
Make Syrup,Make a fruit syrup.,minutes
Make Syrup,Tap authentic maple syrup from nearby maple trees.,minutes
Make Syrup,Prepare chocolate syrup.,minutes
Make Syrup,Use tea leaves to create a syrup for your iced tea.,minutes
Make Syrup,Make orgeat syrup.,minutes
Break in Your Figure Skates,Do not wear the boots for long periods initially.,hours
Break in Your Figure Skates,Do workouts for your ankles.,minutes
Rent a Forklift,Identify the environment and ground surface(s) the forklift will be driven on.,minutes
Rent a Forklift,Calculate the amount of time the forklift is required to complete the job.,minutes
Rent a Forklift,Check your personal or your company's insurance policy to verify coverage.,minutes
Prove Your School Violated Your Fourth Amendment Rights,Study your school's rules and procedures.,minutes
Talk About the Birds and the Bees,Gather external resources.,minutes
Talk About the Birds and the Bees,Understand your child probably knows more than you think.,minutes
Talk About the Birds and the Bees,Discuss menstruation with girls.,minutes
Talk About the Birds and the Bees,Look for learning opportunities.,minutes
Tell Your Family About Your Alcohol Addiction,Learn more about addiction or talk to an addiction specialist.,minutes
Tell Your Family About Your Alcohol Addiction,Consider writing a letter.,minutes
Tell Your Family About Your Alcohol Addiction,Outline your plan.,minutes
Tell Your Family About Your Alcohol Addiction,Explain to children too if need be.,minutes
Play Powerball,Know when drawings occur.,minutes
Play Powerball,Understand how Powerball is played.,minutes
Play Powerball,Get a ticket.,minutes
Play Powerball,Alternatively ask the clerk for a Quick Pick ticket.,minutes
Play Powerball,If you win collect your winnings.,minutes
Play Powerball,Understand Powerball odds.,minutes
Make Burlap Flowers,Wrap and glue several more times.,hours
Make Vegan Queso Dip,Sprinkle the eggplant with salt and let it sit for 10 minutes.,minutes
Make Vegan Queso Dip,Broil the eggplant on both sides and wrap them in foil.,minutes
Make Vegan Queso Dip,Peel the skin away from the eggplant and place it in a blender.,minutes
Make Vegan Queso Dip,Pour the mixture into a pan and heat it until it thickens slightly.,minutes
Start Your Own Sports Team,Create a chain of command.,hours
Help Babies Learn About Object Permanence,Watch your 0 to 4 month old's reflexes.,minutes
Help Babies Learn About Object Permanence,Watch for coordination in your 12 to 18 month old.,hours
Become a Beta Tester,Put in some research.,minutes
Get All Factions in Rome Total War,Gather resources.,minutes
Make a Good Decision in Health Care,Get a time frame for your decision.,minutes
Make a Good Decision in Health Care,Take a bit of time to research your diagnosis on the internet.,minutes
Make a Good Decision in Health Care,Check out some of the sites which deal specifically with your particular problems.,minutes
Make a Good Decision in Health Care,Ask a pharmacist about any medication options or considerations.,minutes
Make a Good Decision in Health Care,Seek counsel from your family.,minutes
Arrange a Tea Tasting Party,Choose the teacups cutlery and other accompaniments.,minutes
Arrange a Tea Tasting Party,Organize the tea for tasting.,minutes
Treat a Cat with Physical Therapy,Apply hot and cold treatments.,seconds
Treat a Cat with Physical Therapy,Consider hydrotherapy.,seconds
Light a Fire in a Fireplace,Add really big logs.,minutes
Fix Windshield Wipers Stuck in Upright Position,Open the hood of the car.,minutes
Fix Windshield Wipers Stuck in Upright Position,Pull off the foam strip.,minutes
Fix Windshield Wipers Stuck in Upright Position,Put everything back together.,minutes
Buy Travel Insurance Online,Review coverage restrictions before finalizing your application.,minutes
Buy Travel Insurance Online,Include all travel destinations in your application.,minutes
Buy Travel Insurance Online,Buy coverage specific to the type of traveling you will be doing.,minutes
Search for Bigfoot,Assemble the right equipment.,minutes
Search for Bigfoot,Set up a location where you hope to have a Bigfoot sighting.,minutes
Search for Bigfoot,Wait patiently for your glimpse of Bigfoot.,minutes
Search for Bigfoot,Record your memories of the events.,minutes
Organize Your Backpack After a Break,If needed get a new backpack.,minutes
Organize Your Backpack After a Break,Get a fresh set of supplies if needed.,minutes
Organize Your Backpack After a Break,Remove any outdated papers from your folder or binder.,minutes
Make Flower Pens,Cut your paper towels.,hours
Get Free Instagram Followers,Link your other social media accounts to Instagram.,minutes
Get Free Instagram Followers,Interact with other Instagram accounts.,minutes
Get Free Instagram Followers,Listen to user feedback.,minutes
